tconst	averageRating	numVotes
tt0000583	5.2	61
tt0000584	5.0	97
tt0000586	5.9	28
tt0000588	4.5	14
tt0000591	5.6	31
tt0000594	5.4	23
tt0000595	5.2	20
tt0000596	4.9	27
tt0000597	5.0	83
tt0000598	5.2	40
tt0000599	3.9	17
tt0000601	5.9	16
tt0000602	4.2	274
tt0000603	4.6	16
tt0000606	7.5	19
tt0000608	5.8	28
tt0000609	4.8	23
tt0000610	4.9	24
tt0000611	4.5	23
tt0000613	4.3	15
tt0000614	6.5	1307
tt0000615	4.3	28
tt0000617	4.9	45
tt0000618	8.5	18
tt0000621	6.5	662
tt0000623	4.4	11
tt0000626	5.4	15
tt0000627	5.9	65
tt0000628	5.7	989
tt0000629	5.9	86
tt0000630	3.2	33
tt0000631	2.0	12
tt0000632	4.8	69
tt0000634	4.0	31
tt0000636	4.5	22
tt0000637	5.4	839
tt0000638	5.0	94
tt0000639	4.9	104
tt0000640	4.4	161
tt0000641	4.6	196
tt0000642	5.5	71
tt0000643	6.0	22
tt0000644	5.5	65
tt0000645	5.0	203
tt0000648	4.6	191
tt0000650	7.8	25
tt0000651	4.8	87
tt0000653	4.5	245
tt0000654	4.8	132
tt0000658	6.4	314
tt0000659	4.7	88
tt0000660	5.7	63
tt0000661	7.8	25
tt0000662	4.2	74
tt0000663	5.7	63
tt0000665	6.0	65
tt0000666	5.5	34
tt0000668	6.6	63
tt0000669	4.9	177
tt0000671	5.8	18
tt0000672	6.6	48
tt0000673	5.7	17
tt0000674	4.6	60
tt0000675	4.3	23
tt0000676	3.7	19
tt0000677	6.4	24
tt0000679	5.2	78
tt0000680	5.5	55
tt0000681	5.7	45
tt0000682	6.9	3057
tt0000683	5.6	101
tt0000684	4.9	147
tt0000685	5.9	50
tt0000689	6.5	60
tt0000690	6.5	47
tt0000692	5.4	8
tt0000694	5.8	56
tt0000695	6.0	58
tt0000697	4.9	34
tt0000698	6.2	29
tt0000699	6.3	28
tt0000700	5.0	87
tt0000703	5.0	20
tt0000704	5.5	64
tt0000706	5.6	33
tt0000707	4.7	29
tt0000708	4.4	50
tt0000709	5.5	81
tt0000711	4.3	27
tt0000712	5.3	23
tt0000713	5.7	27
tt0000714	3.8	12
tt0000715	4.8	15
tt0000717	6.1	27
tt0000720	6.8	22
tt0000721	5.0	15
tt0000722	4.8	14
tt0000724	5.2	47
tt0000725	4.0	26
tt0000727	5.9	23
tt0000728	5.8	149
tt0000730	5.8	81
tt0000731	5.4	27
tt0000732	5.0	13
tt0000733	6.2	34
tt0000734	4.0	18
tt0000736	3.7	18
tt0000737	4.7	40
tt0000738	7.9	23
tt0000739	6.3	19
tt0000740	5.8	22
tt0000741	5.6	32
tt0000743	6.8	18
tt0000744	5.0	13
tt0000746	7.8	20
tt0000747	5.8	36
tt0000748	6.1	31
tt0000749	5.8	914
tt0000750	5.3	18
tt0000752	5.1	157
tt0000754	6.8	80
tt0000755	5.7	246
tt0000756	5.2	160
tt0000757	5.4	16
tt0000758	5.8	33
tt0000759	6.8	15
tt0000760	4.8	11
tt0000762	5.6	50
tt0000764	5.5	156
tt0000765	5.7	18
tt0000767	6.9	26
tt0000768	5.8	12
tt0000769	5.2	191
tt0000770	5.4	187
tt0000771	6.2	24
tt0000772	6.5	21
tt0000775	7.6	12
tt0000776	5.6	154
tt0000778	7.0	17
tt0000779	6.6	21
tt0000781	6.3	22
tt0000782	7.9	27
tt0000783	4.0	15
tt0000784	4.3	32
tt0000785	5.4	80
tt0000786	6.0	11
tt0000787	5.6	24
tt0000788	5.4	14
tt0000789	5.1	85
tt0000790	6.1	476
tt0000792	4.8	71
tt0000793	4.2	23
tt0000797	5.3	193
tt0000798	4.4	19
tt0000800	5.1	126
tt0000801	5.5	76
tt0000803	5.8	16
tt0000805	3.2	10
tt0000807	5.1	64
tt0000809	6.3	67
tt0000815	4.8	67
tt0000816	4.6	144
tt0000817	4.4	24
tt0000819	5.7	69
tt0000821	4.7	142
tt0000823	4.9	56
tt0000825	4.8	58
tt0000826	4.8	56
tt0000827	5.2	107
tt0000828	5.3	122
tt0000829	4.8	61
tt0000831	5.3	155
tt0000832	6.6	2868
tt0000833	6.4	826
tt0000835	4.7	176
tt0000836	4.7	60
tt0000837	5.9	45
tt0000838	3.6	12
tt0000840	5.6	386
tt0000841	5.3	90
tt0000842	6.0	13
tt0000843	6.1	42
tt0000844	6.1	29
tt0000845	5.4	44
tt0000847	5.5	18
tt0000848	5.6	25
tt0000851	5.7	47
tt0000852	5.6	290
tt0000853	6.2	42
tt0000854	5.9	599
tt0000855	5.8	51
tt0000856	4.0	10
tt0000857	5.7	40
tt0000858	5.7	39
tt0000860	4.7	90
tt0000861	5.6	60
tt0000862	4.5	19
tt0000864	6.3	61
tt0000866	5.7	10
tt0000870	5.8	60
tt0000871	5.6	134
tt0000873	5.8	12
tt0000874	5.4	54
tt0000875	4.8	38
tt0000877	4.7	119
tt0000878	5.0	195
tt0000880	5.7	94
tt0000882	5.6	247
tt0000883	6.8	12
tt0000884	3.6	13
tt0000886	4.5	41
tt0000887	5.0	56
tt0000890	7.4	33
tt0000891	5.7	71
tt0000892	5.6	109
tt0000893	6.4	47
tt0000895	5.4	229
tt0000896	4.0	24
tt0000897	5.4	80
tt0000898	6.2	28
tt0000900	5.3	25
tt0000901	5.9	26
tt0000902	5.9	18
tt0000903	7.0	23
tt0000904	5.3	126
tt0000905	6.1	25
tt0000907	7.2	24
tt0000908	6.7	33
tt0000910	5.7	28
tt0000911	3.7	27
tt0000912	4.4	75
tt0000916	6.0	71
tt0000917	6.0	22
tt0000919	4.8	25
tt0000920	5.8	25
tt0000921	6.0	27
tt0000922	4.9	129
tt0000924	6.0	215
tt0000928	5.3	108
tt0000929	5.2	49
tt0000930	4.7	15
tt0000932	3.3	11
tt0000933	5.2	105
tt0000934	4.7	22
tt0000935	5.8	123
tt0000936	6.2	137
tt0000938	4.6	206
tt0000939	5.8	21
tt0000941	4.6	31
tt0000942	6.2	1175
tt0000943	6.0	15
tt0000944	3.8	12
tt0000945	5.0	98
tt0000946	4.7	94
tt0000950	4.7	18
tt0000956	6.2	18
tt0000957	6.2	53
tt0000958	6.5	18
tt0000960	4.7	320
tt0000961	8.8	23
tt0000962	6.0	16
tt0000964	5.9	18
tt0000966	5.6	386
tt0000967	5.8	19
tt0000969	6.7	26
tt0000970	5.7	86
tt0000971	6.2	197
tt0000972	5.7	120
tt0000974	5.3	71
tt0000975	5.3	25
tt0000976	4.4	20
tt0000979	5.1	39
tt0000981	5.7	71
tt0000983	6.0	15
tt0000985	5.2	16
tt0000986	5.1	128
tt0000987	7.9	11
tt0000988	4.7	28
tt0000989	4.8	62
tt0000990	5.7	103
tt0000991	6.7	19
tt0000992	4.4	16
tt0000993	5.8	15
tt0000995	7.8	19
tt0000996	3.8	11
tt0000997	7.3	18
tt0000998	5.5	20
tt0000999	4.4	10
tt0001000	5.5	67
tt0001001	5.1	155
tt0001002	4.8	111
tt0001005	5.8	27
tt0001008	5.5	34
tt0001009	6.5	1078
tt0001010	4.3	17
tt0001011	5.2	17
tt0001013	5.8	438
tt0001014	4.7	133
tt0001015	5.3	27
tt0001016	5.1	171
tt0001017	3.8	10
tt0001020	5.8	15
tt0001023	6.6	15
tt0001025	8.7	18
tt0001027	6.7	18
tt0001028	3.8	24
tt0001029	5.1	64
tt0001031	5.0	15
tt0001032	6.0	1010
tt0001033	5.2	23
tt0001035	5.1	45
tt0001036	2.6	14
tt0001037	3.5	19
tt0001038	3.1	23
tt0001041	5.2	56
tt0001044	5.1	125
tt0001045	5.6	16
tt0001046	6.2	16
tt0001049	4.8	21
tt0001050	4.9	93
tt0001052	6.5	18
tt0001053	7.0	17
tt0001054	5.7	44
tt0001058	5.6	30
tt0001061	6.6	92
tt0001062	6.2	1340
tt0001063	6.6	18
tt0001064	5.1	50
tt0001065	5.8	18
tt0001066	4.9	25
tt0001067	5.7	75
tt0001071	7.4	16
tt0001072	5.6	434
tt0001074	6.5	22
tt0001075	6.0	18
tt0001076	5.8	27
tt0001077	6.5	16
tt0001078	5.4	71
tt0001079	5.5	18
tt0001083	4.9	163
tt0001084	5.2	194
tt0001085	6.3	18
tt0001086	7.0	18
tt0001087	8.4	14
tt0001088	5.0	84
tt0001089	8.3	40
tt0001090	7.9	17
tt0001091	5.3	235
tt0001092	5.9	65
tt0001094	5.5	18
tt0001095	4.0	18
tt0001098	6.6	20
tt0001099	6.7	18
tt0001101	4.8	41
tt0001102	7.0	21
tt0001103	5.7	69
tt0001104	5.2	61
tt0001105	6.4	1085
tt0001106	5.9	193
tt0001107	6.0	118
tt0001109	4.6	16
tt0001111	4.3	21
tt0001112	3.9	53
tt0001113	4.8	19
tt0001115	3.9	21
tt0001116	4.3	20
tt0001117	5.9	18
tt0001118	5.5	223
tt0001120	5.5	262
tt0001121	4.8	58
tt0001122	4.9	21
tt0001124	5.6	24
tt0001129	5.2	70
tt0001134	6.4	22
tt0001135	4.8	61
tt0001139	5.5	44
tt0001141	4.2	15
tt0001143	5.2	58
tt0001144	5.3	54
tt0001145	5.8	12
tt0001150	5.2	138
tt0001151	4.4	61
tt0001152	5.6	87
tt0001153	4.6	58
tt0001156	5.0	57
tt0001159	5.3	32
tt0001161	5.2	59
tt0001165	5.0	41
tt0001175	5.3	45
tt0001176	5.3	41
tt0001177	6.3	23
tt0001183	3.4	10
tt0001184	3.5	22
tt0001185	7.2	22
tt0001186	5.2	73
tt0001187	5.4	42
tt0001189	5.2	10
tt0001190	6.7	15
tt0001195	4.9	21
tt0001196	4.2	13
tt0001200	5.2	48
tt0001202	5.8	41
tt0001206	6.8	46
tt0001207	5.4	155
tt0001211	5.5	53
tt0001214	6.7	10
tt0001216	5.6	41
tt0001217	5.6	123
tt0001218	5.2	144
tt0001223	6.4	4989
tt0001227	5.8	290
tt0001230	5.2	33
tt0001232	5.0	21
tt0001233	7.7	23
tt0001234	6.2	45
tt0001235	5.2	68
tt0001236	5.8	44
tt0001237	4.8	83
tt0001240	3.8	24
tt0001241	4.0	21
tt0001242	5.2	20
tt0001245	5.6	86
tt0001251	5.0	22
tt0001253	6.4	24
tt0001254	6.0	25
tt0001255	5.8	19
tt0001256	5.8	618
tt0001258	5.7	179
tt0001259	6.0	23
tt0001260	5.4	23
tt0001262	5.7	35
tt0001264	7.1	84
tt0001265	6.4	587
tt0001277	4.4	27
tt0001280	5.2	40
tt0001282	6.7	38
tt0001283	6.4	28
tt0001284	4.9	55
tt0001285	5.5	65
tt0001292	5.3	72
tt0001294	7.3	17
tt0001299	3.8	16
tt0001303	7.2	19
tt0001306	4.8	13
tt0001307	6.6	18
tt0001310	5.6	35
tt0001313	5.5	20
tt0001314	5.8	170
tt0001315	5.8	27
tt0001318	6.4	15
tt0001319	6.6	15
tt0001321	5.3	69
tt0001326	5.8	70
tt0001330	5.5	48
tt0001332	5.6	42
tt0001333	5.8	68
tt0001334	6.4	23
tt0001336	6.4	24
tt0001337	5.8	66
tt0001338	4.8	18
tt0001340	5.3	111
tt0001344	5.0	15
tt0001348	4.0	13
tt0001351	6.1	76
tt0001353	5.0	15
tt0001358	4.0	30
tt0001364	5.6	13
tt0001370	5.0	25
tt0001371	5.9	465
tt0001377	5.0	33
tt0001378	5.9	240
tt0001379	3.6	13
tt0001380	3.7	12
tt0001381	5.6	46
tt0001384	6.0	15
tt0001385	5.5	91
tt0001386	4.4	21
tt0001387	6.0	36
tt0001388	5.8	101
tt0001396	4.0	20
tt0001399	6.0	17
tt0001400	7.4	19
tt0001401	6.2	41
tt0001407	6.9	25
tt0001410	5.2	24
tt0001414	5.5	85
tt0001415	5.8	14
tt0001416	5.4	15
tt0001423	4.2	16
tt0001427	6.2	13
tt0001428	5.4	65
tt0001431	6.3	946
tt0001432	6.0	50
tt0001437	5.6	15
tt0001439	5.8	293
tt0001440	3.6	27
tt0001441	5.4	15
tt0001443	7.5	18
tt0001444	3.2	37
tt0001446	6.5	19
tt0001452	5.4	251
tt0001454	5.7	48
tt0001456	8.5	21
tt0001458	5.8	256
tt0001459	5.5	66
tt0001460	4.0	19
tt0001461	5.9	45
tt0001463	5.7	1742
tt0001469	5.9	166
tt0001471	3.5	11
tt0001475	7.5	24
tt0001476	4.6	5
tt0001481	5.6	50
tt0001482	5.2	77
tt0001487	6.2	10
tt0001488	6.3	605
tt0001490	5.2	30
tt0001496	4.2	75
tt0001497	7.7	13
tt0001498	8.2	18
tt0001499	5.6	393
tt0001500	5.0	9
tt0001508	5.5	52
tt0001510	5.6	72
tt0001517	6.2	45
tt0001518	5.7	29
tt0001519	5.1	44
tt0001521	5.3	13
tt0001527	7.7	3388
tt0001529	4.8	26
tt0001530	5.5	20
tt0001531	4.6	16
tt0001532	5.2	18
tt0001542	4.5	35
tt0001543	7.8	12
tt0001544	6.0	901
tt0001545	6.1	164
tt0001550	5.5	60
tt0001551	5.2	101
tt0001552	5.5	40
tt0001557	4.9	124
tt0001560	4.5	28
tt0001563	5.8	55
tt0001564	4.6	31
tt0001567	6.2	11
tt0001571	5.6	30
tt0001577	5.6	32
tt0001582	5.4	34
tt0001583	5.4	19
tt0001584	5.0	30
tt0001585	8.4	13
tt0001586	4.4	21
tt0001587	4.0	30
tt0001588	5.4	228
tt0001590	5.5	12
tt0001592	5.9	32
tt0001593	6.2	430
tt0001594	6.3	389
tt0001598	5.8	54
tt0001602	3.6	8
tt0001604	3.4	8
tt0001607	5.4	87
tt0001613	5.3	177
tt0001614	6.6	44
tt0001615	5.4	43
tt0001618	6.0	28
tt0001624	5.0	52
tt0001630	6.0	50
tt0001632	6.4	48
tt0001638	6.8	12
tt0001642	5.1	46
tt0001648	4.3	9
tt0001654	5.5	48
tt0001655	4.9	20
tt0001658	5.9	19
tt0001659	7.6	20
tt0001660	5.6	235
tt0001668	4.2	38
tt0001671	5.3	42
tt0001680	5.0	678
tt0001681	4.7	331
tt0001692	5.3	24
tt0001693	7.2	26
tt0001695	4.8	68
tt0001696	5.8	14
tt0001701	4.7	93
tt0001706	5.0	20
tt0001709	5.5	49
tt0001712	4.7	9
tt0001715	3.9	11
tt0001717	3.5	26
tt0001722	5.0	12
tt0001724	5.7	310
tt0001728	6.5	19
tt0001732	6.0	33
tt0001733	5.6	26
tt0001737	7.1	1925
tt0001738	6.4	66
tt0001740	6.5	1402
tt0001741	4.9	25
tt0001742	6.2	16
tt0001747	5.5	31
